frequency_hz,magnitude,phase_rad
0.0,6.228795257356978e-17,3.141592653589793
0.2,2.739597661972716e-16,2.6923082921007397
0.4,2.493375990210225e-16,-2.7075099073225295
0.6000000000000001,1.5187919317437578e-16,3.030403078841685
0.8,2.9025244539006774e-16,2.6353581010577667
1.0,2.500563387927097e-16,-2.6696445894431458
1.2000000000000002,1.496871768826495e-16,2.8005840724575184
1.4000000000000001,3.5857992756244767e-16,2.6573381505057863
1.6,3.303068574266932e-16,-2.746690364622687
1.8,2.0599300640148192e-16,2.6351669593345832
2.0,5.491547032351095e-16,2.4950650642519197
2.2,5.595643461203087e-16,-2.837946605778967
2.4000000000000004,3.246608674231762e-16,2.4730892589901243
2.6,1.3271370294301413e-15,2.419268792439165
2.8000000000000003,2.0009367168051996e-15,-2.7960214830112835
3.0,1.414213562373096,-0.7853981633974506
3.2,2.5630121046890253e-15,-0.8026169504935128
3.4000000000000004,9.577155839220008e-16,0.2953357604818068
3.6,2.373158151963179e-16,-0.8942107817403433
3.8000000000000003,6.668283075172385e-16,-0.9130136767859669
4.0,3.752705121831845e-16,0.25630669869966693
4.2,1.0077811598224754e-16,-0.7674506494646212
4.4,3.3350564515258317e-16,-0.9820477918642785
4.6000000000000005,2.6103272532177664e-16,0.3531371765317927
4.800000000000001,5.915368535909269e-17,-0.8848076732132576
5.0,2.209266543399302e-16,-1.1279240991838375
5.2,1.624527630257433e-16,0.09318712499705034
5.4,4.8711366837169356e-17,-0.7394267049958257
5.6000000000000005,1.6920537609796544e-16,-1.1661678369068298
5.800000000000001,1.3700372710411893e-16,0.0015204309347591025
6.0,3.3124105000498495e-17,-0.33519274674664945
6.2,9.939441280583285e-17,-1.144041777691604
6.4,7.060802220251795e-17,-0.19902888862897053
6.6000000000000005,3.0356159432418914e-17,-1.8704470916585694
6.800000000000001,1.2445972493919436e-16,-1.2536615952735672
7.0,9.184327667003363e-17,-0.35241624087479184
7.2,2.594142362379448e-17,-0.8223316737536597
7.4,7.779630148416417e-17,-1.3312812742018085
7.6000000000000005,7.948577878766798e-17,-0.27333035534605804
7.800000000000001,7.585626767435323e-18,0.6007092179267062
8.0,5.895340113373425e-17,-1.2137733799327595
8.200000000000001,7.054616928739788e-17,-0.5368961538922273
8.4,3.277491275230963e-17,-0.2856846685935776
8.6,6.537648170917093e-17,-1.4165778527231996
8.8,5.38861240171573e-17,-0.5818847043151631
9.0,6.28383013353732e-17,-0.5955856997242613
9.200000000000001,4.510443336686168e-17,-1.5659711793622928
9.4,4.054741881724543e-17,-0.2113000305286113
9.600000000000001,3.511335340528806e-17,-0.6115699006509345
9.8,2.208555645495966e-17,-1.8761523384953933
10.0,4.7506019025770084e-17,-0.8130697741517351
10.200000000000001,4.6646314574148356e-17,-0.6004900969716037
10.4,2.4778213644600024e-17,-1.6727010826368045
10.600000000000001,4.038747372723853e-17,-1.1225789404256525
10.8,3.995457438369188e-17,-0.703828546908081
11.0,1.4030717275523824e-17,-0.6100156540235645
11.200000000000001,2.975782416069603e-17,-1.0180150871050615
11.4,3.037867647652046e-17,-0.7425090729519579
11.600000000000001,1.383867065526692e-17,-1.9924137733146945
11.8,2.8014788184512005e-17,-1.140581845863051
12.0,3.837153992046986e-17,-0.8163542004860356
12.200000000000001,2.931398940241203e-17,-2.1618960347696605
12.4,5.306006760952879e-17,-1.4986547995019048
12.600000000000001,8.480837848886966e-17,-0.32159570866103493
12.8,2.4483521773919933e-17,0.5897942095183583
13.0,1.1808698679113962e-17,0.6916566218531999
13.200000000000001,6.562415035414617e-17,-0.9278569746635561
13.4,2.0006935389912662e-17,-0.02830361262519544
13.600000000000001,1.3727526747071518e-17,-2.964562551090181
13.8,5.307448500641993e-17,-0.9502998353201297
14.0,1.6273385394772354e-17,0.13319696750590684
14.200000000000001,1.6927353914949192e-17,-0.4161227736509092
14.4,2.864499044660798e-17,-1.2980881957116583
14.600000000000001,1.764994498508359e-17,-1.163788312190194
14.8,2.0912877874136836e-17,-1.5813482012773836
15.0,3.785607429734685e-17,-1.1783553419817243
15.200000000000001,2.3666083208131664e-17,0.015279344176156633
15.4,8.608561513417347e-18,-0.128066684534651
15.600000000000001,3.378750254936843e-17,-1.1588630476309945
15.8,3.838183028216158e-17,-2.2993160288614494
16.0,1.1452678181781179e-17,1.7654328078118433
