index,t,value
0,0.0,0.0
1,0.0001,0.006597332526606732
2,0.0002,0.01319459277778224
3,0.0003,0.01979170847889416
4,0.0004,0.026388607356907855
5,0.0005,0.03298521714118524
6,0.0006,0.0395814655642836
7,0.0007,0.04617728036275437
8,0.0008,0.05277258927794186
9,0.0009,0.05936732005678191
10,0.001,0.06596140045260056
11,0.0011,0.07255475822591255
12,0.0012,0.07914732114521977
13,0.0013,0.08573901698780971
14,0.0014,0.09232977354055366
15,0.0015,0.09891951860070489
16,0.0016,0.10550817997669673
17,0.0017,0.11209568548894053
18,0.0018,0.11868196297062336
19,0.0019,0.12526694026850577
20,0.002,0.13185054524371914
21,0.0021,0.1384327057725633
22,0.0022,0.1450133497473034
23,0.0023,0.15159240507696703
24,0.0024,0.1581697996881411
25,0.0025,0.1647454615257683
26,0.0026,0.17131931855394367
27,0.0027,0.17789129875671067
28,0.0028,0.18446133013885718
29,0.0029,0.1910293407267113
30,0.003,0.19759525856893684
31,0.0031,0.20415901173732837
32,0.0032,0.21072052832760663
33,0.0033,0.2172797364602128
34,0.0034,0.22383656428110327
35,0.0035,0.23039093996254364
36,0.0036,0.2369427917039027
37,0.0037,0.24349204773244593
38,0.0038,0.25003863630412876
39,0.0039,0.2565824857043896
40,0.004,0.2631235242489423
41,0.0041,0.26966168028456855
42,0.0042,0.27619688218990973
43,0.0043,0.2827290583762586
44,0.0044,0.2892581372883505
45,0.0045,0.29578404740515374
46,0.0046,0.3023067172406608
47,0.0047,0.3088260753446781
48,0.0048,0.31534205030361506
49,0.0049,0.32185457074127444
50,0.005,0.3283635653196404
51,0.0051,0.33486896273966704
52,0.0052,0.3413706917420666
53,0.0053,0.34786868110809693
54,0.0054,0.3543628596603484
55,0.0055,0.36085315626353065
56,0.0056,0.3673394998252588
57,0.0057,0.3738218192968391
58,0.0058,0.3803000436740538
59,0.0059,0.3867741019979466
60,0.006,0.39324392335560593
61,0.0061,0.3997094368809493
62,0.0062,0.4061705717555061
63,0.0063,0.4126272572092004
64,0.0064,0.4190794225211329
65,0.0065,0.42552699702036256
66,0.0066,0.43196991008668767
67,0.0067,0.43840809115142587
68,0.0068,0.4448414696981945
69,0.0069,0.4512699752636896
70,0.007,0.4576935374384643
71,0.0071,0.46411208586770764
72,0.0072,0.47052555025202114
73,0.0073,0.4769338603481962
74,0.0074,0.4833369459699902
75,0.0075,0.489734736988902
76,0.0076,0.4961271633349469
77,0.0077,0.5025141549974309
78,0.0078,0.5088956420257243
79,0.0079,0.515271554530035
80,0.008,0.52164182268218
81,0.0081,0.5280063767163576
82,0.0082,0.5343651469299183
83,0.0083,0.5407180636841347
84,0.0084,0.5470650574049709
85,0.0085,0.5534060585838521
86,0.0086,0.5597409977784307
87,0.0087,0.5660698056133562
88,0.0088,0.5723924127810396
89,0.0089,0.57870875004242
90,0.009,0.5850187482277298
91,0.0091,0.5913223382372589
92,0.0092,0.5976194510421171
93,0.0093,0.6039100176849987
94,0.0094,0.6101939692809428
95,0.0095,0.6164712370180948
96,0.0096,0.6227417521584668
97,0.0097,0.6290054460386976
98,0.0098,0.6352622500708096
99,0.0099,0.6415120957429685
100,0.01,0.6477549146202388
101,0.0101,0.6539906383453408
102,0.0102,0.6602191986394053
103,0.0103,0.6664405273027277
104,0.0104,0.6726545562155222
105,0.0105,0.6788612173386734
106,0.0106,0.685060442714489
107,0.0107,0.6912521644674491
108,0.0108,0.6974363148049577
109,0.0109,0.7036128260180903
110,0.011,0.7097816304823423
111,0.0111,0.7159426606583763
112,0.0112,0.7220958490927678
113,0.0113,0.72824112841875
114,0.0114,0.7343784313569592
115,0.0115,0.7405076907161764
116,0.0116,0.7466288393940705
117,0.0117,0.7527418103779393
118,0.0118,0.7588465367454496
119,0.0119,0.7649429516653763
120,0.012,0.7710309883983406
121,0.0121,0.7771105802975475
122,0.0122,0.7831816608095218
123,0.0123,0.7892441634748425
124,0.0124,0.7952980219288779
125,0.0125,0.8013431699025179
126,0.0126,0.8073795412229059
127,0.0127,0.81340706981417
128,0.0128,0.8194256896981527
129,0.0129,0.8254353349951391
130,0.013,0.8314359399245851
131,0.0131,0.8374274388058436
132,0.0132,0.8434097660588893
133,0.0133,0.8493828562050443
134,0.0134,0.8553466438677
135,0.0135,0.8613010637730389
136,0.0136,0.8672460507507567
137,0.0137,0.8731815397347811
138,0.0138,0.8791074657639902
139,0.0139,0.8850237639829299
140,0.014,0.8909303696425309
141,0.0141,0.8968272181008221
142,0.0142,0.902714244823646
143,0.0143,0.9085913853853701
144,0.0144,0.9144585754695989
145,0.0145,0.9203157508698836
146,0.0146,0.9261628474904317
147,0.0147,0.9319998013468139
148,0.0148,0.9378265485666712
149,0.0149,0.9436430253904197
150,0.015,0.9494491681719542
151,0.0151,0.9552449133793522
152,0.0152,0.961030197595574
153,0.0153,0.9668049575191631
154,0.0154,0.9725691299649453
155,0.0155,0.9783226518647266
156,0.0156,0.9840654602679881
157,0.0157,0.9897974923425827
158,0.0158,0.9955186853754278
159,0.0159,1.0012289767731966
160,0.016,1.006928304063011
161,0.0161,1.0126166048931298
162,0.0162,1.0182938170336377
163,0.0163,1.023959878377132
164,0.0164,1.0296147269394078
165,0.0165,1.0352583008601421
166,0.0166,1.0408905384035771
167,0.0167,1.046511377959202
168,0.0168,1.052120758042431
169,0.0169,1.057718617295285
170,0.017,1.0633048944870653
171,0.0171,1.068879528515032
172,0.0172,1.0744424584050778
173,0.0173,1.0799936233123992
174,0.0174,1.0855329625221708
175,0.0175,1.0910604154502126
176,0.0176,1.0965759216436608
177,0.0177,1.1020794207816327
178,0.0178,1.1075708526758943
179,0.0179,1.1130501572715235
180,0.018,1.1185172746475724
181,0.0181,1.1239721450177302
182,0.0182,1.1294147087309798
183,0.0183,1.1348449062722592
184,0.0184,1.1402626782631162
185,0.0185,1.1456679654623638
186,0.0186,1.1510607087667346
187,0.0187,1.1564408492115321
188,0.0188,1.1618083279712808
189,0.0189,1.1671630863603766
190,0.019,1.172505065833733
191,0.0191,1.1778342079874273
192,0.0192,1.1831504545593448
193,0.0193,1.1884537474298218
194,0.0194,1.193744028622286
195,0.0195,1.1990212403038971
196,0.0196,1.2042853247861833
197,0.0197,1.2095362245256789
198,0.0198,1.2147738821245584
199,0.0199,1.2199982403312686
200,0.02,1.2252092420411627
201,0.0201,1.2304068302971272
202,0.0202,1.2355909482902114
203,0.0203,1.2407615393602538
204,0.0204,1.2459185469965068
205,0.0205,1.2510619148382602
206,0.0206,1.2561915866754623
207,0.0207,1.2613075064493395
208,0.0208,1.2664096182530153
209,0.0209,1.2714978663321257
210,0.021,1.2765721950854347
211,0.0211,1.2816325490654479
212,0.0212,1.286678872979021
213,0.0213,1.2917111116879738
214,0.0214,1.2967292102096941
215,0.0215,1.3017331137177461
216,0.0216,1.3067227675424744
217,0.0217,1.3116981171716056
218,0.0218,1.3166591082508508
219,0.0219,1.3216056865845034
220,0.022,1.326537798136038
221,0.0221,1.331455389028704
222,0.0222,1.336358405546121
223,0.0223,1.3412467941328703
224,0.0224,1.346120501395085
225,0.0225,1.3509794741010395
226,0.0226,1.3558236591817334
227,0.0227,1.3606530037314806
228,0.0228,1.3654674550084878
229,0.0229,1.3702669604354387
230,0.023,1.375051467600073
231,0.0231,1.3798209242557626
232,0.0232,1.384575278322088
233,0.0233,1.3893144778854127
234,0.0234,1.394038471199454
235,0.0235,1.398747206685854
236,0.0236,1.4034406329347477
237,0.0237,1.4081186987053287
238,0.0238,1.4127813529264148
239,0.0239,1.4174285446970094
240,0.024,1.4220602232868624
241,0.0241,1.4266763381370302
242,0.0242,1.431276838860431
243,0.0243,1.4358616752424007
244,0.0244,1.4404307972412451
245,0.0245,1.4449841549887923
246,0.0246,1.4495216987909405
247,0.0247,1.4540433791282061
248,0.0248,1.4585491466562686
249,0.0249,1.4630389522065146
250,0.025,1.4675127467865785
251,0.0251,1.4719704815808812
252,0.0252,1.4764121079511696
253,0.0253,1.4808375774370504
254,0.0254,1.485246841756524
255,0.0255,1.489639852806517
256,0.0256,1.4940165626634099
257,0.0257,1.4983769235835656
258,0.0258,1.5027208880038552
259,0.0259,1.5070484085421814
260,0.026,1.5113594379979993
261,0.0261,1.5156539293528373
262,0.0262,1.5199318357708123
263,0.0263,1.5241931105991466
264,0.0264,1.5284377073686821
265,0.0265,1.5326655797943896
266,0.0266,1.5368766817758799
267,0.0267,1.5410709673979093
268,0.0268,1.5452483909308856
269,0.0269,1.5494089068313721
270,0.027,1.5535524697425869
271,0.0271,1.5576790344949034
272,0.0272,1.5617885561063458
273,0.0273,1.5658809897830843
274,0.0274,1.569956290919929
275,0.0275,1.5740144151008177
276,0.0276,1.5780553180993082
277,0.0277,1.5820789558790604
278,0.0278,1.5860852845943243
279,0.0279,1.5900742605904197
280,0.028,1.5940458404042166
281,0.0281,1.5979999807646141
282,0.0282,1.601936638593015
283,0.0283,1.6058557710038
284,0.0284,1.6097573353047985
285,0.0285,1.6136412889977585
286,0.0286,1.617507589778814
287,0.0287,1.6213561955389482
288,0.0288,1.6251870643644586
289,0.0289,1.6290001545374155
290,0.029,1.6327954245361225
291,0.0291,1.6365728330355704
292,0.0292,1.6403323389078937
293,0.0293,1.64407390122282
294,0.0294,1.647797479248122
295,0.0295,1.651503032450063
296,0.0296,1.6551905204938433
297,0.0297,1.6588599032440425
298,0.0298,1.6625111407650617
299,0.0299,1.6661441933215593
300,0.03,1.669759021378891
301,0.0301,1.6733555856035407
302,0.0302,1.6769338468635542
303,0.0303,1.6804937662289683
304,0.0304,1.6840353049722379
305,0.0305,1.6875584245686617
306,0.0306,1.6910630866968046
307,0.0307,1.6945492532389188
308,0.0308,1.6980168862813616
309,0.0309,1.7014659481150118
310,0.031,1.7048964012356835
311,0.0311,1.708308208344537
312,0.0312,1.7117013323484889
313,0.0313,1.7150757363606193
314,0.0314,1.7184313837005747
315,0.0315,1.721768237894972
316,0.0316,1.7250862626777983
317,0.0317,1.728385421990807
318,0.0318,1.7316656799839167
319,0.0319,1.7349270010156004
320,0.032,1.7381693496532789
321,0.0321,1.7413926906737072
322,0.0322,1.7445969890633635
323,0.0323,1.7477822100188303
324,0.0324,1.7509483189471764
325,0.0325,1.7540952814663378
326,0.0326,1.7572230634054917
327,0.0327,1.7603316308054333
328,0.0328,1.7634209499189464
329,0.0329,1.7664909872111734
330,0.033,1.7695417093599837
331,0.0331,1.7725730832563364
332,0.0332,1.775585076004646
333,0.0333,1.7785776549231391
334,0.0334,1.7815507875442154
335,0.0335,1.7845044416148008
336,0.0336,1.787438585096702
337,0.0337,1.7903531861669568
338,0.0338,1.7932482132181815
